medicine,toxicity_level,disposal,compost_safe,warnings
Ciprofloxacin 250mg,High,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin 100mg,Medium,Safe landfill,No,Harmful to aquatic life.
Ciprofloxacin 250mg,Low,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Capsule,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Cap,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Ciprofloxacin XL,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Ciprofloxacin SR,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Cap,Medium,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Ciprofloxacin Capsule,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Cap,Medium,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Capsule,High,Hazardous waste treatment,No,Toxic if released into groundwater.
Ciprofloxacin SR,High,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin Tablet,Low,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin SR,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ciprofloxacin 250mg,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ciprofloxacin SR,Medium,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Ciprofloxacin Capsule,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin SR,Low,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin 500mg,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ciprofloxacin Capsule,Low,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Tab,Medium,Safe landfill,Yes,Toxic if released into groundwater.
Ciprofloxacin SR,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Ciprofloxacin XL,Low,Return to pharmacy,No,Toxic if released into groundwater.
Ciprofloxacin Capsule,High,Return to pharmacy,Yes,Harmful to aquatic life.
Ciprofloxacin Tablet,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ciprofloxacin Tab,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin XL,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ciprofloxacin Capsule,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Ciprofloxacin Tab,Low,Safe landfill,Yes,Harmful to aquatic life.
Ciprofloxacin SR,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Ciprofloxacin Cap,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ciprofloxacin Capsule,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Ciprofloxacin XL,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Azithromycin Tablet,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Azithromycin Tablet,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Azithromycin Tablet,Medium,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 500mg,Medium,Hazardous waste treatment,No,Harmful to aquatic life.
Azithromycin XL,Low,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Cap,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Azithromycin SR,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Azithromycin Capsule,Low,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 100mg,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Cap,Low,Safe landfill,Yes,Harmful to aquatic life.
Azithromycin Tablet,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Azithromycin XL,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Azithromycin 250mg,High,Do not flush. Incinerate,No,Toxic if released into groundwater.
Azithromycin SR,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Azithromycin Cap,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Azithromycin 500mg,Low,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Azithromycin 100mg,High,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Azithromycin 250mg,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Azithromycin 250mg,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Azithromycin Tab,High,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin XL,High,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Tablet,High,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Oral,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 500mg,Low,Do not flush. Incinerate,No,Harmful to aquatic life.
Azithromycin Cap,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Azithromycin Cap,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Azithromycin SR,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Azithromycin Capsule,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Azithromycin 100mg,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 100mg,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Azithromycin 250mg,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Azithromycin 250mg,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Azithromycin Capsule,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Cap,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 100mg,Medium,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Tablet,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Cap,Medium,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin 100mg,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Azithromycin 250mg,High,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Azithromycin Oral,Medium,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Tab,Medium,Safe landfill,No,Harmful to aquatic life.
Azithromycin Cap,High,Do not flush. Incinerate,No,Harmful to aquatic life.
Azithromycin Capsule,Medium,Return to pharmacy,No,Disrupts soil microbes if composted.
Azithromycin SR,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Tablet,High,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Capsule,Medium,Safe landfill,No,Toxic if released into groundwater.
Azithromycin 250mg,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Azithromycin 250mg,High,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Azithromycin 250mg,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Azithromycin 250mg,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Azithromycin XL,Low,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin XL,Low,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin 250mg,Medium,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Azithromycin Cap,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Azithromycin Tablet,High,Eco-bin drop-off,No,Toxic if released into groundwater.
Azithromycin 500mg,High,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Azithromycin Cap,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 500mg,High,Safe landfill,No,Harmful to aquatic life.
Azithromycin Tablet,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Azithromycin Cap,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Azithromycin Tab,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Azithromycin SR,High,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Azithromycin 500mg,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin SR,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin Tab,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Tablet,Medium,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Tablet,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Oral,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Azithromycin 250mg,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Capsule,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Azithromycin XL,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Tablet,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Azithromycin Capsule,High,Return to pharmacy,No,Harmful to aquatic life.
Azithromycin 250mg,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Azithromycin XL,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin 250mg,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Azithromycin 100mg,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Tab,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 100mg,High,Return to pharmacy,No,Harmful to aquatic life.
Azithromycin XL,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Azithromycin Tablet,High,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Tab,High,Safe landfill,Yes,Can enter waterways through improper disposal.
Azithromycin Oral,Medium,Hazardous waste treatment,No,Harmful to aquatic life.
Azithromycin 250mg,High,Safe landfill,No,Toxic if released into groundwater.
Azithromycin 500mg,Medium,Return to pharmacy,No,Harmful to aquatic life.
Azithromycin Cap,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Azithromycin XL,Medium,Safe landfill,No,Disrupts soil microbes if composted.
Azithromycin XL,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Azithromycin Capsule,High,Hazardous waste treatment,No,Toxic if released into groundwater.
Azithromycin Oral,High,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Azithromycin Tablet,Medium,Safe landfill,No,Toxic if released into groundwater.
Azithromycin Oral,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Azithromycin Tablet,High,Return to pharmacy,No,Disrupts soil microbes if composted.
Azithromycin 100mg,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Capsule,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Azithromycin Oral,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 250mg,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Azithromycin Tab,High,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Azithromycin Cap,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Tab,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Azithromycin 100mg,Medium,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin Tablet,Medium,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Azithromycin 100mg,High,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Azithromycin XL,Low,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Azithromycin Tablet,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Azithromycin SR,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Azithromycin 250mg,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Azithromycin Capsule,High,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 500mg,Low,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 250mg,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Azithromycin Cap,Medium,Safe landfill,No,Disrupts soil microbes if composted.
Azithromycin Tablet,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Azithromycin 500mg,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 100mg,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Azithromycin Tablet,High,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Azithromycin 100mg,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Azithromycin 500mg,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Azithromycin XL,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Azithromycin Tab,Medium,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin 250mg,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Azithromycin XL,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Azithromycin 100mg,Low,Return to pharmacy,Yes,Harmful to aquatic life.
Azithromycin 100mg,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Azithromycin 100mg,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Azithromycin 500mg,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Azithromycin Capsule,Medium,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Azithromycin Capsule,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Azithromycin 100mg,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Azithromycin SR,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Azithromycin Tab,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin 250mg,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin 100mg,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Capsule,High,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Azithromycin Tablet,Low,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin Tablet,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Azithromycin Capsule,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin Tab,High,Safe landfill,No,Harmful to aquatic life.
Azithromycin 100mg,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Azithromycin XL,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Azithromycin 500mg,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Azithromycin XL,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Azithromycin SR,Low,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Azithromycin Tablet,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Azithromycin 250mg,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Capsule,Low,Return to pharmacy,Yes,Harmful to aquatic life.
Azithromycin Tablet,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Azithromycin Oral,Medium,Safe landfill,No,Toxic if released into groundwater.
Azithromycin Cap,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Azithromycin Cap,Low,Return to pharmacy,No,Harmful to aquatic life.
Azithromycin Tab,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Azithromycin Cap,Medium,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Azithromycin Oral,High,Safe landfill,No,Toxic if released into groundwater.
Azithromycin Capsule,Medium,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Azithromycin Tab,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Azithromycin 500mg,Medium,Return to pharmacy,No,Harmful to aquatic life.
Azithromycin XL,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Azithromycin Tab,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Azithromycin Capsule,Medium,Safe landfill,No,Should be incinerated to avoid soil contamination.
Azithromycin 100mg,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Azithromycin XL,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Azithromycin SR,High,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Azithromycin Tab,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Azithromycin SR,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Azithromycin 100mg,High,Safe landfill,Yes,Disrupts soil microbes if composted.
Azithromycin 250mg,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
